Customer_ID,Age,Income,Destination,Travel_Type,Enquiry_Date,Budget,Status
TE10037,59.0,204164.0,Kerala,Family,2025-04-03,57095,Contacted
TE10038,57.0,53826.0,Goa,Honeymoon,2025-08-05,65905,Converted
TE10039,31.0,83584.0,Manali,Honeymoon,2025-06-15,50396,New
TE10040,48.0,63858.0,Singapore,Business,2025-12-13,62026,New
TE10041,25.0,109677.0,Paris,Family,2025-04-15,36033,Closed
TE10042,54.0,85588.0,Kashmir,Business,2025-11-26,80164,Contacted
TE10043,51.0,94110.0,Bali,Family,2025-08-16,107160,Contacted
TE10044,35.0,140819.0,Jaipur,Business,2025-09-30,57523,Closed
TE10045,21.0,61860.0,Bali,Honeymoon,2025-03-03,81829,Contacted
TE10046,64.0,222816.0,London,Leisure,2025-01-07,77283,New
TE10047,39.0,186815.0,Jaipur,Honeymoon,2025-09-23,121929,Contacted
TE10048,60.0,194447.0,Singapore,Business,2025-06-24,63594,New
TE10049,50.0,57318.0,Kashmir,Leisure,2025-04-23,64867,New
TE10050,55.0,182293.0,Manali,Business,2025-11-23,55389,New
TE10051,54.0,212009.0,Thailand,Leisure,2025-04-29,45187,Closed
TE10052,27.0,58642.0,Goa,Business,2025-06-07,103521,Converted
TE10053,35.0,192297.0,Singapore,Honeymoon,2025-09-21,80271,New
TE10054,40.0,100982.0,Ladakh,Leisure,2025-12-17,86918,New
TE10055,41.0,200719.0,Kerala,Honeymoon,2025-11-24,129612,Converted
TE10056,20.0,128990.0,Jaipur,Leisure,2025-08-26,131623,Closed
TE10057,44.0,204113.0,Kerala,Family,2025-02-10,27382,New
TE10058,25.0,52202.0,Manali,Business,2025-02-09,107674,New
TE10059,53.0,108266.0,Manali,Adventure,2025-09-10,92898,Closed
TE10060,50.0,81435.0,Dubai,Leisure,2025-07-05,68844,Closed
TE10061,62.0,75620.0,Kerala,Family,2025-02-18,96469,Closed
TE10062,53.0,89533.0,Jaipur,Adventure,2025-09-11,24577,New
TE10063,35.0,106725.0,Manali,Leisure,2025-12-09,136192,New
TE10064,64.0,47528.0,Thailand,Family,2025-01-24,103023,Contacted
TE10065,37.0,182043.0,Paris,Adventure,2025-10-28,54718,New
TE10066,33.0,145656.0,Jaipur,Leisure,2025-05-06,64511,Closed
TE10067,61.0,210391.0,Paris,Adventure,2025-05-25,25390,New
TE10068,35.0,181567.0,Manali,Leisure,2025-09-19,74011,Contacted
TE10069,21.0,52578.0,Bali,Business,2025-03-31,68104,Closed
TE10070,40.0,34224.0,Jaipur,Business,2025-02-27,38621,Closed
TE10071,56.0,116092.0,Goa,Adventure,2025-12-17,112185,Converted
TE10072,27.0,129621.0,Kashmir,Business,2025-05-07,129688,Closed
TE10073,40.0,73738.0,Ladakh,Family,2025-03-03,84042,New
TE10074,24.0,,Bali,Business,2025-09-09,74302,Contacted
TE10075,50.0,152927.0,Thailand,Leisure,2025-03-20,100224,New
TE10076,40.0,191534.0,Thailand,Adventure,2025-10-10,84313,Closed
TE10077,33.0,43290.0,Dubai,Honeymoon,2025-01-26,47124,Closed
TE10078,28.0,207097.0,Kerala,Adventure,2025-07-08,62156,New
TE10079,45.0,65813.0,Kerala,Business,2025-05-27,74625,New
TE10080,50.0,121992.0,Dubai,Family,2025-12-15,93687,Contacted
TE10081,63.0,119934.0,Manali,Family,2025-12-03,85327,New
TE10082,38.0,208370.0,Goa,Family,2025-04-01,92363,Converted
TE10083,25.0,82228.0,Singapore,Honeymoon,2025-06-22,31631,New
TE10084,57.0,73854.0,Ladakh,Leisure,2025-10-24,108283,Converted
TE10085,48.0,96794.0,Bali,Honeymoon,2025-02-28,85120,Contacted
TE10086,51.0,101708.0,Dubai,Honeymoon,2025-12-04,174345,Contacted
TE10087,22.0,60151.0,Manali,Business,2025-10-09,71433,New
TE10088,32.0,58914.0,Jaipur,Business,2025-09-04,96321,Closed
TE10089,54.0,71670.0,Kerala,Honeymoon,2025-03-30,184023,Contacted
TE10090,57.0,126456.0,Kashmir,Family,2025-10-25,91793,Contacted
TE10091,38.0,97658.0,Thailand,Family,2025-11-03,82633,Contacted
TE10092,56.0,108958.0,Kashmir,Adventure,2025-04-17,50458,Closed
TE10093,58.0,184821.0,Thailand,Business,2025-08-02,138489,Converted
TE10094,36.0,73895.0,Kashmir,Adventure,2025-01-23,44431,Converted
TE10095,61.0,229095.0,Jaipur,Family,2025-05-24,99949,Contacted
TE10096,31.0,192413.0,Goa,Leisure,2025-02-24,68426,Closed
TE10097,29.0,58527.0,Goa,Adventure,2025-07-22,78373,New
TE10098,50.0,90812.0,Paris,Adventure,2025-07-19,35162,Converted
TE10099,48.0,60584.0,Manali,Family,2025-07-13,132009,Contacted
TE10100,24.0,81290.0,Manali,Family,2025-09-04,75277,Contacted
TE10101,57.0,102795.0,Kashmir,Honeymoon,2025-12-03,42472,Closed
TE10102,27.0,48366.0,Manali,Family,2025-03-13,128844,Closed
TE10103,56.0,21348.0,Kashmir,Leisure,2025-03-20,67355,Contacted
TE10104,18.0,119807.0,Bali,Family,2025-03-20,96711,Contacted
TE10105,56.0,180630.0,Singapore,Leisure,2025-12-04,114450,Closed
TE10106,55.0,88288.0,Singapore,Business,2025-02-03,101591,Closed
TE10107,55.0,217626.0,Dubai,Honeymoon,2025-01-12,10000,Converted
TE10108,49.0,103671.0,Singapore,Adventure,2025-02-28,109337,New
TE10109,40.0,226985.0,Manali,Adventure,2025-10-07,81479,New
TE10110,51.0,72751.0,Kashmir,Leisure,2025-07-30,73484,Closed
TE10111,31.0,143125.0,Dubai,Adventure,2025-12-01,81182,Converted
TE10112,55.0,195052.0,Manali,Leisure,2025-03-16,28649,Converted
TE10113,44.0,31697.0,Bali,Business,2025-05-24,91726,Converted
TE10114,,233761.0,Singapore,Leisure,2025-07-22,37246,Contacted
TE10115,42.0,102670.0,Jaipur,Honeymoon,2025-01-27,74996,Contacted
TE10116,45.0,133520.0,Singapore,Family,2025-12-01,90469,Converted
TE10117,19.0,163798.0,Manali,Adventure,2025-10-20,122591,New
TE10118,24.0,167176.0,Singapore,Business,2025-02-22,56314,Converted
TE10119,29.0,23491.0,Dubai,Leisure,2025-11-03,135806,Converted
TE10120,23.0,219184.0,Dubai,Business,2025-06-13,118140,Converted
TE10121,39.0,162676.0,Manali,Honeymoon,2025-05-03,69971,New
TE10122,50.0,249729.0,Dubai,Honeymoon,2025-12-11,46194,Converted
TE10123,49.0,127391.0,Dubai,Business,2025-07-08,34466,New
TE10124,40.0,160336.0,Jaipur,Family,2025-03-24,94511,New
TE10125,59.0,120327.0,Manali,Adventure,2025-10-22,59195,Contacted
TE10126,45.0,224429.0,Manali,Leisure,2025-09-18,126977,New
TE10127,21.0,211114.0,Kerala,Business,2025-03-11,61217,Closed
TE10128,54.0,228798.0,Goa,Family,2025-09-04,53477,Closed
TE10129,45.0,134993.0,Singapore,Business,2025-08-17,93177,New
TE10130,48.0,201617.0,Kashmir,Adventure,2025-04-11,60988,Converted
TE10131,45.0,101240.0,Paris,Business,2025-06-06,85299,Contacted
TE10132,44.0,124936.0,Thailand,Business,2025-11-02,119510,Converted
TE10133,22.0,194371.0,Goa,Adventure,2025-03-05,89103,Closed
TE10134,44.0,36827.0,Goa,Family,2025-09-20,89234,Contacted
TE10135,56.0,182834.0,Bali,Honeymoon,2025-10-30,92180,New
TE10136,32.0,21666.0,Bali,Adventure,2025-12-07,25742,New
TE10137,46.0,152711.0,Thailand,Leisure,2025-04-29,98714,Contacted
TE10138,19.0,128711.0,Goa,Adventure,2025-04-08,90598,Closed
TE10139,34.0,126733.0,Bali,Family,2025-12-07,116251,Contacted
TE10140,38.0,132681.0,Paris,Leisure,2025-06-18,106203,Contacted
TE10141,65.0,132129.0,Dubai,Adventure,2025-07-27,77932,New
TE10142,28.0,112508.0,Manali,Business,2025-07-06,121134,Closed
TE10143,31.0,122714.0,London,Leisure,2025-07-07,74758,New
TE10144,37.0,149815.0,Goa,Leisure,2025-08-16,93650,Converted
TE10145,65.0,195124.0,Ladakh,Family,2025-06-04,74110,Converted
TE10146,58.0,146102.0,Singapore,Leisure,2025-05-23,101162,New
TE10147,19.0,167065.0,Bali,Leisure,2025-05-26,71823,New
TE10148,29.0,212095.0,Bali,Leisure,2025-08-27,142664,Contacted
TE10149,57.0,247567.0,Thailand,Leisure,2025-10-25,155608,New
TE10150,20.0,43208.0,Manali,Business,2025-07-22,115588,Converted
TE10151,59.0,183399.0,Goa,Leisure,2025-09-04,138945,Converted
TE10152,31.0,70241.0,Kerala,Family,2025-05-31,31127,New
TE10153,62.0,63653.0,Dubai,Honeymoon,2025-10-09,35252,Contacted
TE10154,32.0,201977.0,Goa,Honeymoon,2025-05-24,73745,New
TE10155,38.0,33936.0,Manali,Honeymoon,2025-06-03,86443,New
TE10156,49.0,214699.0,Dubai,Adventure,2025-01-21,78063,Converted
TE10157,24.0,196767.0,Goa,Business,2025-04-06,27525,Converted
TE10158,44.0,248800.0,Goa,Leisure,2025-09-26,125306,Converted
TE10159,42.0,172963.0,Kashmir,Leisure,2025-02-01,160397,New
TE10160,55.0,220516.0,Dubai,Business,2025-03-23,129835,Contacted
TE10161,65.0,45500.0,London,Leisure,2025-10-10,122993,Contacted
TE10162,49.0,224457.0,Kashmir,Leisure,2025-11-14,92914,Closed
TE10163,37.0,55195.0,Manali,Leisure,2025-06-01,55495,Converted
TE10164,37.0,90929.0,Bali,Leisure,2025-05-29,87538,Closed
TE10165,38.0,47740.0,Kerala,Leisure,2025-07-05,158696,New
TE10166,57.0,111185.0,Bali,Family,2025-10-08,72680,Contacted
TE10167,33.0,191768.0,Goa,Honeymoon,2025-03-05,69076,Converted
TE10168,26.0,80196.0,Manali,Leisure,2025-06-06,123756,Contacted
TE10169,34.0,208750.0,Goa,Business,2025-04-03,126079,Contacted
TE10170,19.0,158662.0,Kerala,Leisure,2025-09-06,55323,Contacted
TE10171,23.0,163911.0,London,Honeymoon,2025-02-21,75848,Closed
TE10172,22.0,235803.0,Singapore,Business,2025-08-10,67433,New
TE10173,55.0,118188.0,Bali,Family,2025-02-17,87439,Closed
TE10174,52.0,97957.0,London,Family,2025-12-20,123629,Contacted
TE10175,51.0,248737.0,Singapore,Leisure,2025-08-21,56859,Contacted
TE10176,40.0,147224.0,Goa,Adventure,2025-02-20,123138,Contacted
TE10177,52.0,160588.0,Thailand,Business,2025-12-16,88558,New
TE10178,25.0,86741.0,Paris,Adventure,2025-07-28,166417,Closed
TE10179,61.0,67981.0,Goa,Leisure,2025-08-09,96159,Closed
TE10180,42.0,57393.0,Jaipur,Honeymoon,2025-01-24,81608,Closed
TE10181,63.0,69865.0,Kashmir,Honeymoon,2025-03-10,105115,Closed
TE10182,25.0,63283.0,Manali,Leisure,2025-10-22,73200,Converted
TE10183,41.0,191239.0,Jaipur,Leisure,2025-06-20,22165,Contacted
TE10184,51.0,31443.0,Manali,Leisure,2025-08-13,76582,Closed
TE10185,41.0,164017.0,Goa,Leisure,2025-12-26,76030,New
TE10186,39.0,238237.0,Goa,Honeymoon,2025-06-05,29269,Converted
TE10187,25.0,195608.0,Bali,Leisure,2025-05-19,82444,Contacted
TE10188,36.0,111468.0,Thailand,Honeymoon,2025-10-20,12651,Converted
TE10189,29.0,31781.0,Manali,Leisure,2025-01-25,72831,Contacted
TE10190,32.0,211516.0,Dubai,Business,2025-06-15,93526,Contacted
TE10191,50.0,18730.0,Manali,Honeymoon,2025-11-08,88395,New
TE10192,48.0,176069.0,Goa,Adventure,2025-03-24,70613,Contacted
TE10193,47.0,173660.0,Kerala,Family,2025-04-21,82006,Contacted
TE10194,35.0,62525.0,Bali,Leisure,2025-06-21,57558,New
TE10195,64.0,189650.0,Singapore,Leisure,2025-01-28,85379,New
TE10196,22.0,58707.0,Paris,Family,2025-01-26,87033,Contacted
TE10197,34.0,70350.0,Kerala,Leisure,2025-04-02,53491,New
TE10198,23.0,206382.0,Goa,Honeymoon,2025-11-23,94369,Converted
TE10199,34.0,245158.0,Manali,Adventure,2025-03-22,94151,New
TE10200,64.0,79413.0,Kashmir,Leisure,2025-09-24,79183,Contacted
TE10201,35.0,231751.0,Bali,Family,2025-06-05,169737,New
TE10202,61.0,229883.0,Kashmir,Family,2025-10-04,80075,Contacted
TE10203,41.0,196503.0,Kashmir,Honeymoon,2025-05-01,75227,Contacted
TE10204,51.0,50492.0,Singapore,Leisure,2025-11-15,70216,Contacted
TE10205,39.0,87465.0,Kashmir,Family,2025-05-15,51017,Contacted
TE10206,30.0,175229.0,Paris,Business,2025-10-16,109006,Contacted
TE10207,54.0,249819.0,Goa,Adventure,2025-10-30,60981,New
TE10208,64.0,206958.0,Goa,Business,2025-06-07,65122,Contacted
TE10209,30.0,115502.0,Goa,Honeymoon,2025-08-31,66162,Contacted
TE10210,55.0,72579.0,Goa,Family,2025-02-13,50527,Converted
TE10211,30.0,240799.0,Dubai,Business,2025-06-30,23712,Contacted
TE10212,52.0,82080.0,Bali,Business,2025-05-16,68797,Converted
TE10213,55.0,97395.0,Ladakh,Adventure,2025-12-14,115567,Contacted
TE10214,39.0,241769.0,Kerala,Business,2025-12-07,91894,New
TE10215,53.0,148306.0,Manali,Leisure,2025-10-13,139620,New
TE10216,31.0,79386.0,Bali,Leisure,2025-12-12,111283,New
TE10217,21.0,19240.0,Dubai,Leisure,2025-12-22,103339,Contacted
TE10218,22.0,117750.0,Goa,Adventure,2025-10-07,150893,Converted
TE10219,39.0,246753.0,Dubai,Business,2025-08-05,81600,Converted
TE10220,61.0,118344.0,Dubai,Honeymoon,2025-03-16,87208,Contacted
TE10221,24.0,180291.0,Dubai,Honeymoon,2025-10-24,84599,New
TE10222,39.0,76704.0,Ladakh,Leisure,2025-03-12,139033,Closed
TE10223,51.0,197942.0,Bali,Family,2025-03-09,85088,New
TE10224,27.0,197984.0,Bali,Adventure,2025-11-17,62310,Contacted
TE10225,52.0,159126.0,Goa,Family,2025-02-11,105569,Closed
TE10226,32.0,197069.0,Ladakh,Adventure,2025-02-21,56431,Contacted
TE10227,56.0,152287.0,Singapore,Adventure,2025-07-05,103672,New
TE10228,45.0,105770.0,Manali,Business,2025-01-17,99484,New
TE10229,44.0,189188.0,Singapore,Family,2025-05-18,78371,Contacted
TE10230,26.0,211750.0,Jaipur,Family,2025-03-23,104803,New
TE10231,40.0,213126.0,Jaipur,Leisure,2025-04-20,32927,Converted
TE10232,59.0,67433.0,Goa,Honeymoon,2025-03-07,90704,Contacted
TE10233,18.0,174970.0,Jaipur,Family,2025-09-04,68803,New
TE10234,54.0,18998.0,Goa,Adventure,2025-06-22,185179,New
TE10235,41.0,150704.0,Manali,Honeymoon,2025-12-16,90454,Converted
TE10236,52.0,150511.0,Goa,Leisure,2025-01-04,64126,Contacted
TE10237,49.0,102331.0,Kashmir,Family,2025-10-11,36759,Converted
TE10238,38.0,248627.0,Dubai,Business,2025-11-28,130689,Contacted
TE10239,32.0,222847.0,Dubai,Family,2025-06-26,72749,New
TE10240,48.0,26965.0,Dubai,Leisure,2025-09-12,57303,Contacted
TE10241,24.0,66450.0,Thailand,Adventure,2025-06-10,96770,Contacted
TE10242,46.0,66255.0,Kerala,Leisure,2025-08-05,107740,Contacted
TE10243,22.0,226234.0,Kashmir,Family,2025-11-27,107188,Converted
TE10244,49.0,138388.0,Dubai,Adventure,2025-07-13,85691,Closed
TE10245,48.0,187099.0,Goa,Leisure,2025-12-26,90572,Converted
TE10246,22.0,205907.0,Kerala,Honeymoon,2025-06-30,93121,Contacted
TE10247,54.0,196088.0,Dubai,Leisure,2025-03-05,96774,Contacted
TE10248,37.0,38657.0,Ladakh,Adventure,2025-09-06,99871,Contacted
TE10249,55.0,50557.0,Thailand,Business,2025-09-10,123306,New
TE10250,19.0,109694.0,Jaipur,Leisure,2025-03-28,86975,Converted
TE10251,26.0,96504.0,London,Adventure,2025-09-23,56412,Closed
TE10252,41.0,191322.0,Kerala,Adventure,2025-01-24,79950,New
TE10253,27.0,54246.0,Dubai,Family,2025-04-27,111382,Closed
TE10254,33.0,104198.0,Jaipur,Adventure,2025-11-08,22472,Converted
TE10255,49.0,72885.0,Goa,Business,2025-08-13,22674,Contacted
TE10256,24.0,61810.0,Ladakh,Leisure,2025-08-10,117140,Closed
TE10257,50.0,58090.0,Goa,Business,2025-08-15,138204,New
TE10258,22.0,63355.0,Dubai,Family,2025-03-02,40718,New
TE10259,26.0,148935.0,Kerala,Leisure,2025-12-16,88516,New
TE10260,46.0,113131.0,Goa,Leisure,2025-04-19,71016,Contacted
TE10261,56.0,118987.0,Goa,Leisure,2025-10-14,75871,Contacted
TE10262,26.0,129225.0,Bali,Adventure,2025-12-27,95694,Closed
TE10263,32.0,189926.0,Goa,Adventure,2025-03-29,39750,New
TE10264,62.0,217941.0,Jaipur,Honeymoon,2025-08-19,46247,New
TE10265,65.0,140133.0,Dubai,Adventure,2025-01-16,74456,Contacted
TE10266,45.0,167003.0,Manali,Honeymoon,2025-08-20,79912,New
TE10267,39.0,189346.0,Manali,Adventure,2025-06-10,45592,Converted
TE10268,34.0,178173.0,Bali,Adventure,2025-01-27,112638,Contacted
TE10269,47.0,49149.0,Kashmir,Adventure,2025-09-02,70385,Closed
TE10270,46.0,246054.0,Manali,Adventure,2025-12-19,70236,Converted
TE10271,32.0,56236.0,Kashmir,Business,2025-01-31,94893,New
TE10272,19.0,113548.0,Kerala,Adventure,2025-11-21,80488,New
TE10273,25.0,169404.0,Singapore,Adventure,2025-11-04,114312,New
TE10274,64.0,111578.0,Bali,Business,2025-07-19,52330,Closed
TE10275,38.0,74406.0,Bali,Honeymoon,2025-11-25,36091,Converted
TE10276,41.0,232217.0,Ladakh,Leisure,2025-04-23,74157,Contacted
TE10277,40.0,34594.0,Jaipur,Business,2025-09-20,87108,New
TE10278,55.0,75043.0,Kerala,Leisure,2025-09-12,41574,Closed
TE10279,21.0,248376.0,Dubai,Leisure,2025-07-31,36429,New
TE10280,21.0,187317.0,Goa,Family,2025-10-31,91380,Converted
TE10281,31.0,38178.0,Singapore,Honeymoon,2025-11-15,58478,Converted
TE10282,41.0,193061.0,Goa,Leisure,2025-10-14,34162,New
TE10283,50.0,242927.0,Dubai,Honeymoon,2025-08-03,118787,Contacted
TE10284,41.0,40686.0,Goa,Leisure,2025-12-22,62887,New
TE10285,39.0,114060.0,Manali,Honeymoon,2025-07-22,125243,Contacted
TE10286,63.0,126630.0,Singapore,Leisure,2025-08-20,85996,Closed
TE10287,25.0,48395.0,Singapore,Family,2025-03-10,95317,Converted
TE10288,45.0,64530.0,Paris,Honeymoon,2025-04-27,77598,Converted
TE10289,44.0,58311.0,Goa,Adventure,2025-11-26,10000,Contacted
TE10290,40.0,61007.0,Jaipur,Honeymoon,2025-07-01,45212,New
TE10291,56.0,111619.0,Dubai,Honeymoon,2025-07-06,80600,Converted
TE10292,30.0,125608.0,Bali,Honeymoon,2025-10-25,97766,Contacted
TE10293,63.0,73212.0,Kerala,Adventure,2025-04-29,22361,New
TE10294,33.0,85147.0,Jaipur,Honeymoon,2025-04-07,83124,Contacted
TE10295,44.0,62599.0,Jaipur,Honeymoon,2025-01-04,45721,Contacted
TE10296,42.0,202686.0,Kashmir,Adventure,2025-03-26,93212,Converted
TE10297,58.0,67127.0,Bali,Honeymoon,2025-07-06,84321,New
TE10298,39.0,228565.0,Jaipur,Business,2025-09-21,111023,Closed
TE10299,31.0,143015.0,Jaipur,Business,2025-04-30,122339,Contacted
TE10300,19.0,204231.0,Goa,Honeymoon,2025-06-11,101065,New
TE10301,35.0,165644.0,Kashmir,Honeymoon,2025-03-22,115114,New
TE10302,57.0,79719.0,Dubai,Business,2025-10-25,72738,Converted
TE10303,18.0,157516.0,Manali,Adventure,2025-07-11,183809,Contacted
TE10304,61.0,81599.0,London,Honeymoon,2025-02-22,42341,Contacted
TE10305,44.0,45506.0,Bali,Leisure,2025-08-10,66529,New
TE10306,24.0,77097.0,Goa,Adventure,2025-05-03,116548,Converted
TE10307,32.0,81948.0,Goa,Business,2025-11-11,111345,Converted
TE10308,44.0,49328.0,Goa,Adventure,2025-04-08,102059,New
TE10309,33.0,23477.0,Kerala,Business,2025-11-11,108636,Closed
TE10310,23.0,236962.0,Goa,Family,2025-09-12,12075,New
TE10311,49.0,137114.0,Kashmir,Adventure,2025-02-19,140625,New
TE10312,50.0,111275.0,Kashmir,Leisure,2025-10-04,77864,Contacted
TE10313,23.0,233749.0,Kerala,Family,2025-09-20,128606,Converted
TE10314,31.0,70128.0,Kerala,Family,2025-06-15,13827,New
TE10315,29.0,111466.0,Dubai,Family,2025-02-28,93980,Contacted
TE10316,49.0,214428.0,Goa,Leisure,2025-06-24,65277,New
TE10317,53.0,164632.0,Bali,Adventure,2025-08-10,105024,Contacted
TE10318,52.0,110613.0,Goa,Leisure,2025-02-18,96097,Converted
TE10319,63.0,77352.0,Goa,Adventure,2025-05-05,97812,Closed
TE10320,54.0,26147.0,Dubai,Business,2025-09-13,47937,Contacted
TE10321,33.0,37732.0,Goa,Leisure,2025-07-21,83006,Contacted
TE10322,23.0,55570.0,Jaipur,Honeymoon,2025-12-28,78694,Contacted
TE10323,47.0,200496.0,Bali,Leisure,2025-03-20,102336,New
TE10324,61.0,166306.0,Ladakh,Family,2025-10-11,119625,New
TE10325,64.0,118564.0,Kerala,Business,2025-06-04,90267,Closed
TE10326,29.0,199634.0,Thailand,Adventure,2025-03-23,40334,New
TE10327,29.0,55301.0,Paris,Leisure,2025-12-13,88765,Converted
TE10328,19.0,66936.0,Thailand,Family,2025-08-15,176388,New
TE10329,24.0,109113.0,Jaipur,Adventure,2025-07-14,142610,Converted
TE10330,44.0,230836.0,Manali,Business,2025-04-18,10000,New
TE10331,44.0,160502.0,Kashmir,Business,2025-11-17,87217,Closed
TE10332,35.0,215432.0,Dubai,Honeymoon,2025-01-11,117624,Converted
TE10333,32.0,75573.0,Goa,Honeymoon,2025-02-11,78619,New
TE10334,57.0,214825.0,Manali,Honeymoon,2025-03-07,68897,Converted
TE10335,40.0,34815.0,Paris,Honeymoon,2025-08-26,75656,Contacted
TE10336,56.0,70817.0,Dubai,Family,2025-02-07,104327,New
TE10337,64.0,139342.0,Kerala,Business,2025-10-18,44804,New
TE10338,33.0,29724.0,Thailand,Adventure,2025-03-13,126604,Converted
TE10339,27.0,217117.0,Dubai,Leisure,2025-09-04,83040,Converted
TE10340,63.0,219243.0,,Honeymoon,2025-10-17,52274,New
TE10341,48.0,143620.0,Dubai,Honeymoon,2025-11-16,124352,Closed
TE10342,31.0,88945.0,Ladakh,Business,2025-04-17,30920,New
TE10343,47.0,40959.0,Manali,Adventure,2025-01-28,65568,New
TE10344,42.0,161589.0,Goa,Family,2025-10-03,64991,Contacted
TE10345,61.0,142740.0,Jaipur,Family,2025-06-13,160038,New
TE10346,30.0,194313.0,Singapore,Adventure,2025-12-12,61024,New
TE10347,65.0,157788.0,Ladakh,Honeymoon,2025-03-10,10000,Contacted
TE10348,62.0,47764.0,Kerala,Family,2025-07-29,64636,New
TE10349,26.0,46249.0,Bali,Honeymoon,2025-02-13,100944,New
TE10350,25.0,199155.0,Paris,Family,2025-06-26,112443,Converted
TE10351,,54893.0,Goa,Adventure,2025-01-01,164679,Contacted
TE10352,20.0,235735.0,Goa,Business,2025-10-01,134241,Converted
TE10353,32.0,42579.0,Goa,Family,2025-08-09,91577,Contacted
TE10354,38.0,186983.0,Dubai,Honeymoon,2025-02-05,53800,Contacted
TE10355,64.0,244254.0,Jaipur,Family,2025-07-01,141841,New
TE10356,65.0,120364.0,Dubai,Adventure,2025-06-05,72100,Converted
TE10357,25.0,31157.0,Kerala,Business,2025-09-03,61964,New
TE10358,60.0,221390.0,Jaipur,Adventure,2025-07-01,70402,New
TE10359,22.0,61455.0,Singapore,Business,2025-06-17,41170,Converted
TE10360,53.0,140370.0,Singapore,Family,2025-10-30,68724,Converted
TE10361,58.0,246413.0,Dubai,Leisure,2025-07-08,76841,Contacted
TE10362,60.0,190787.0,Dubai,Leisure,2025-10-24,110573,New
TE10363,28.0,28745.0,Kerala,Business,2025-11-19,71417,New
TE10364,60.0,208358.0,Kerala,Family,2025-11-05,40639,Contacted
TE10365,23.0,55408.0,Dubai,Adventure,2025-12-14,28868,Converted
TE10366,42.0,191850.0,Dubai,Business,2025-09-12,92335,Contacted
TE10367,40.0,162062.0,Bali,Honeymoon,2025-07-24,87542,New
TE10368,33.0,84782.0,Singapore,Honeymoon,2025-07-13,65599,New
TE10369,19.0,116277.0,Goa,Honeymoon,2025-03-16,68639,Contacted
TE10370,55.0,45339.0,Jaipur,Leisure,2025-10-29,98597,Converted
TE10371,34.0,246934.0,Thailand,Leisure,2025-09-10,133669,New
TE10372,49.0,73294.0,Goa,Honeymoon,2025-11-14,57695,New
TE10373,37.0,89613.0,Thailand,Leisure,2025-09-13,88112,New
TE10374,35.0,134667.0,Manali,Honeymoon,2025-06-24,118539,New
TE10375,60.0,173992.0,Jaipur,Leisure,2025-04-18,57836,Contacted
TE10376,22.0,135224.0,Paris,Adventure,2025-12-25,84453,New
